"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4592","Add Books","chromium","Tue Dec 03 21:41:46 GMT 2024","passed","Tue Dec 03 21:41:51 GMT 2024","Bookstore","api/login-api.spec.ts","",""
"","5119","Invalid login","chromium","Tue Dec 03 21:42:00 GMT 2024","passed","Tue Dec 03 21:42:05 GMT 2024","Login","ui/login-ui.spec.ts","",""
"","3492","Web Table match snapshot","chromium","Tue Dec 03 21:42:00 GMT 2024","passed","Tue Dec 03 21:42:03 GMT 2024","Web Tables","ui/web-tables.spec.ts","",""
"","2658","Get Authorized","chromium","Tue Dec 03 21:41:46 GMT 2024","passed","Tue Dec 03 21:41:49 GMT 2024","Authentication","api/login-api.spec.ts","",""
"","1834","Get Books","chromium","Tue Dec 03 21:41:46 GMT 2024","passed","Tue Dec 03 21:41:48 GMT 2024","Bookstore","api/login-api.spec.ts","",""
"","4925","CRUD User","chromium","Tue Dec 03 21:41:46 GMT 2024","passed","Tue Dec 03 21:41:51 GMT 2024","Authentication","api/login-api.spec.ts","",""
"","5699","Valid login","chromium","Tue Dec 03 21:42:00 GMT 2024","passed","Tue Dec 03 21:42:06 GMT 2024","Login","ui/login-ui.spec.ts","",""
