"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3610","Web Table match snapshot","chromium","Tue Dec 03 21:51:27 GMT 2024","passed","Tue Dec 03 21:51:31 GMT 2024","Web Tables","ui/web-tables.spec.ts","",""
"","2312","Get Books","chromium","Tue Dec 03 21:51:14 GMT 2024","passed","Tue Dec 03 21:51:16 GMT 2024","Bookstore","api/login-api.spec.ts","",""
"","4669","CRUD User","chromium","Tue Dec 03 21:51:14 GMT 2024","passed","Tue Dec 03 21:51:19 GMT 2024","Authentication","api/login-api.spec.ts","",""
"","3285","Add Books","chromium","Tue Dec 03 21:51:14 GMT 2024","passed","Tue Dec 03 21:51:17 GMT 2024","Bookstore","api/login-api.spec.ts","",""
"","4921","Invalid login","chromium","Tue Dec 03 21:51:27 GMT 2024","passed","Tue Dec 03 21:51:32 GMT 2024","Login","ui/login-ui.spec.ts","",""
"","6100","Valid login","chromium","Tue Dec 03 21:51:27 GMT 2024","passed","Tue Dec 03 21:51:33 GMT 2024","Login","ui/login-ui.spec.ts","",""
"","3313","Get Authorized","chromium","Tue Dec 03 21:51:14 GMT 2024","passed","Tue Dec 03 21:51:17 GMT 2024","Authentication","api/login-api.spec.ts","",""
